Store Nbr	Store Name	Store Type Descr	Open Sunday Flag	Street Address	City	State	Zip Code	MDSE Major Zone	MDSE Sub Zone	Square Footage	Subdiv	Region	District	Open Date	Expansion Size SQFT	Expansion Open Date	Dry Run Date	Regular Warehouse	Assembly Warehouse	Circular Warehouse	Distribution Warehouse	WPM Warehouse	Store Prototype Nbr	IDC	IDC Desc	Port	Port Desc
875	RIDGELAND MS /JACKSON	BASE STR Supercenter	Y	815 S WHEATLEY ST	RIDGELAND	MS	39157	40	45	154063	1A	14	140	04/29/1986	150284	10/20/2004	04/29/1986	6011	6011	6011	6011	6005	145	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
876	MANY LA	BASE STR Supercenter	Y	25800 HIGHWAY 171	MANY	LA	71449	40	45	151765	1A	13	127	04/29/1986	1	11/10/2010	04/29/1986	6048	6048	6048	6048	6005	50	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
877	MONROE NC	BASE STR Supercenter	Y	2406 W ROOSEVELT BLVD	MONROE	NC	28110	50	56	219750	1F	28	307	03/04/1986	111433	01/26/2000	03/04/1986	6070	6070	6070	6070	6014	208	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
878	CUMMING, GA	BASE STR Supercenter	Y	1500 MARKET PLACE BLVD	CUMMING	GA	30041	50	56	202847	1A	2	24	10/29/1985	103573	08/13/1997	10/29/1985	6054	6054	6054	6054	6014	188	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
879	LAFAYETTE TN	BASE STR Supercenter	Y	419 HIGHWAY 52 BYP W	LAFAYETTE	TN	37083	50	55	151980	1F	12	152	12/31/1985	114085	03/15/2000	12/31/1985	6066	6066	6066	6066	6022	142	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
880	IRVING TX	BASE STR Supercenter	Y	4100 W AIRPORT FWY	IRVING	TX	75062	40	44	199916	1B	5	52	11/11/1986	126249	10/29/2003	11/11/1986	6036	6036	6036	6036	6005	192	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
881	LEXINGTON, SC	BASE STR Supercenter	Y	5556 SUNSET BLVD	LEXINGTON	SC	29072	50	56	202847	1F	4	40	11/12/1985	65904	05/21/1997	11/12/1985	6070	6070	6070	6070	6014	188	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
882	PRARIE DU CHIEN WI	BASE STR Supercenter	Y	38020 US HIGHWAY 18	PRAIRIE DU CHIEN	WI	53821	80	85	184435	1N	53	438	02/04/1986	73631	03/20/2002	02/04/1986	7039	7039	7039	7039	6022	173	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
884	SHELBYVILLE IN	BASE STR Supercenter	Y	2500 PROGRESS PKWY	SHELBYVILLE	IN	46176	70	75	188357	1F	23	249	03/18/1986	90666	10/29/2003	03/18/1986	6017	6017	6017	6017	6022	173	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
885	SEWARD NE	BASE STR Supercenter	Y	1326 280TH	SEWARD	NE	68434	70	74	99704	1N	51	433	04/01/1986	43113	04/13/2005	04/01/1986	6035	6035	6035	6035	6008	98	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
